,ds,y
0,2024-02-01 20:00:00,15
1,2024-02-01 20:10:00,22
2,2024-02-01 20:20:00,26
3,2024-02-01 20:30:00,32
4,2024-02-01 20:40:00,24
5,2024-02-01 20:50:00,39
6,2024-02-01 21:00:00,24
7,2024-02-01 21:10:00,14
8,2024-02-01 21:20:00,21
9,2024-02-01 21:30:00,18
10,2024-02-01 21:40:00,12
11,2024-02-01 21:50:00,11
12,2024-02-01 22:00:00,2
13,2024-02-01 22:10:00,0
14,2024-02-01 22:20:00,0
15,2024-02-01 22:30:00,0
16,2024-02-01 22:40:00,0
17,2024-02-01 22:50:00,0
18,2024-02-01 23:00:00,0
19,2024-02-01 23:10:00,0
20,2024-02-01 23:20:00,0
21,2024-02-01 23:30:00,0
22,2024-02-01 23:40:00,0
23,2024-02-01 23:50:00,0
24,2024-02-02 00:00:00,0
25,2024-02-02 00:10:00,0
26,2024-02-02 00:20:00,0
27,2024-02-02 00:30:00,0
28,2024-02-02 00:40:00,0
29,2024-02-02 00:50:00,0
30,2024-02-02 01:00:00,0
31,2024-02-02 01:10:00,0
32,2024-02-02 01:20:00,0
33,2024-02-02 01:30:00,0
34,2024-02-02 01:40:00,0
35,2024-02-02 01:50:00,0
36,2024-02-02 02:00:00,0
37,2024-02-02 02:10:00,0
38,2024-02-02 02:20:00,0
39,2024-02-02 02:30:00,0
40,2024-02-02 02:40:00,0
41,2024-02-02 02:50:00,0
42,2024-02-02 03:00:00,0
43,2024-02-02 03:10:00,0
44,2024-02-02 03:20:00,0
45,2024-02-02 03:30:00,0
46,2024-02-02 03:40:00,0
47,2024-02-02 03:50:00,0
48,2024-02-02 04:00:00,0
49,2024-02-02 04:10:00,0
50,2024-02-02 04:20:00,0
51,2024-02-02 04:30:00,0
52,2024-02-02 04:40:00,0
53,2024-02-02 04:50:00,0
54,2024-02-02 05:00:00,0
55,2024-02-02 05:10:00,0
56,2024-02-02 05:20:00,0
57,2024-02-02 05:30:00,0
58,2024-02-02 05:40:00,0
59,2024-02-02 05:50:00,0
60,2024-02-02 06:00:00,0
61,2024-02-02 06:10:00,0
62,2024-02-02 06:20:00,0
63,2024-02-02 06:30:00,0
64,2024-02-02 06:40:00,0
65,2024-02-02 06:50:00,0
66,2024-02-02 07:00:00,0
67,2024-02-02 07:10:00,0
68,2024-02-02 07:20:00,0
69,2024-02-02 07:30:00,0
70,2024-02-02 07:40:00,0
71,2024-02-02 07:50:00,0
72,2024-02-02 08:00:00,2
73,2024-02-02 08:10:00,5
74,2024-02-02 08:20:00,0
75,2024-02-02 08:30:00,1
76,2024-02-02 08:40:00,7
77,2024-02-02 08:50:00,5
78,2024-02-02 09:00:00,16
79,2024-02-02 09:10:00,39
80,2024-02-02 09:20:00,27
81,2024-02-02 09:30:00,19
82,2024-02-02 09:40:00,12
83,2024-02-02 09:50:00,3
84,2024-02-02 10:00:00,11
85,2024-02-02 10:10:00,8
86,2024-02-02 10:20:00,2
87,2024-02-02 10:30:00,0
88,2024-02-02 10:40:00,0
89,2024-02-02 10:50:00,0
90,2024-02-02 11:00:00,0
91,2024-02-02 11:10:00,0
92,2024-02-02 11:20:00,0
93,2024-02-02 11:30:00,0
94,2024-02-02 11:40:00,0
95,2024-02-02 11:50:00,0
96,2024-02-02 12:00:00,0
97,2024-02-02 12:10:00,0
98,2024-02-02 12:20:00,0
99,2024-02-02 12:30:00,21
100,2024-02-02 12:40:00,39
101,2024-02-02 12:50:00,10
102,2024-02-02 13:00:00,14
103,2024-02-02 13:10:00,21
104,2024-02-02 13:20:00,20
105,2024-02-02 13:30:00,42
106,2024-02-02 13:40:00,33
107,2024-02-02 13:50:00,33
108,2024-02-02 14:00:00,30
109,2024-02-02 14:10:00,15
110,2024-02-02 14:20:00,8
111,2024-02-02 14:30:00,0
112,2024-02-02 14:40:00,0
113,2024-02-02 14:50:00,0
114,2024-02-02 15:00:00,0
115,2024-02-02 15:10:00,0
116,2024-02-02 15:20:00,0
117,2024-02-02 15:30:00,0
118,2024-02-02 15:40:00,0
119,2024-02-02 15:50:00,0
120,2024-02-02 16:00:00,0
121,2024-02-02 16:10:00,0
122,2024-02-02 16:20:00,0
123,2024-02-02 16:30:00,0
124,2024-02-02 16:40:00,0
125,2024-02-02 16:50:00,0
126,2024-02-02 17:00:00,7
127,2024-02-02 17:10:00,8
128,2024-02-02 17:20:00,16
129,2024-02-02 17:30:00,17
130,2024-02-02 17:40:00,17
131,2024-02-02 17:50:00,8
132,2024-02-02 18:00:00,2
133,2024-02-02 18:10:00,3
134,2024-02-02 18:20:00,0
135,2024-02-02 18:30:00,0
136,2024-02-02 18:40:00,0
137,2024-02-02 18:50:00,0
138,2024-02-02 19:00:00,0
139,2024-02-02 19:10:00,0
140,2024-02-02 19:20:00,0
141,2024-02-02 19:30:00,0
142,2024-02-02 19:40:00,0
143,2024-02-02 19:50:00,0
144,2024-02-02 20:00:00,23
145,2024-02-02 20:10:00,54
146,2024-02-02 20:20:00,36
147,2024-02-02 20:30:00,30
148,2024-02-02 20:40:00,24
149,2024-02-02 20:50:00,25
150,2024-02-02 21:00:00,32
151,2024-02-02 21:10:00,37
152,2024-02-02 21:20:00,20
153,2024-02-02 21:30:00,8
154,2024-02-02 21:40:00,20
155,2024-02-02 21:50:00,10
156,2024-02-02 22:00:00,7
157,2024-02-02 22:10:00,0
158,2024-02-02 22:20:00,0
159,2024-02-02 22:30:00,0
160,2024-02-02 22:40:00,0
161,2024-02-02 22:50:00,0
162,2024-02-02 23:00:00,0
163,2024-02-02 23:10:00,0
164,2024-02-02 23:20:00,0
165,2024-02-02 23:30:00,0
166,2024-02-02 23:40:00,0
167,2024-02-02 23:50:00,0
168,2024-02-03 00:00:00,0
169,2024-02-03 00:10:00,0
170,2024-02-03 00:20:00,0
171,2024-02-03 00:30:00,0
172,2024-02-03 00:40:00,0
173,2024-02-03 00:50:00,0
174,2024-02-03 01:00:00,0
175,2024-02-03 01:10:00,0
176,2024-02-03 01:20:00,0
177,2024-02-03 01:30:00,0
178,2024-02-03 01:40:00,0
179,2024-02-03 01:50:00,0
180,2024-02-03 02:00:00,0
181,2024-02-03 02:10:00,0
182,2024-02-03 02:20:00,0
183,2024-02-03 02:30:00,0
184,2024-02-03 02:40:00,0
185,2024-02-03 02:50:00,0
186,2024-02-03 03:00:00,0
187,2024-02-03 03:10:00,0
188,2024-02-03 03:20:00,0
189,2024-02-03 03:30:00,0
190,2024-02-03 03:40:00,0
191,2024-02-03 03:50:00,0
192,2024-02-03 04:00:00,0
193,2024-02-03 04:10:00,0
194,2024-02-03 04:20:00,0
195,2024-02-03 04:30:00,0
196,2024-02-03 04:40:00,0
197,2024-02-03 04:50:00,0
198,2024-02-03 05:00:00,0
199,2024-02-03 05:10:00,0
200,2024-02-03 05:20:00,0
201,2024-02-03 05:30:00,0
202,2024-02-03 05:40:00,0
203,2024-02-03 05:50:00,0
204,2024-02-03 06:00:00,0
205,2024-02-03 06:10:00,0
206,2024-02-03 06:20:00,0
207,2024-02-03 06:30:00,0
208,2024-02-03 06:40:00,0
209,2024-02-03 06:50:00,0
210,2024-02-03 07:00:00,0
211,2024-02-03 07:10:00,0
212,2024-02-03 07:20:00,0
213,2024-02-03 07:30:00,0
214,2024-02-03 07:40:00,0
215,2024-02-03 07:50:00,0
216,2024-02-03 08:00:00,1
217,2024-02-03 08:10:00,3
218,2024-02-03 08:20:00,3
219,2024-02-03 08:30:00,4
220,2024-02-03 08:40:00,10
221,2024-02-03 08:50:00,11
222,2024-02-03 09:00:00,6
223,2024-02-03 09:10:00,3
224,2024-02-03 09:20:00,20
225,2024-02-03 09:30:00,12
226,2024-02-03 09:40:00,11
227,2024-02-03 09:50:00,17
228,2024-02-03 10:00:00,18
229,2024-02-03 10:10:00,10
230,2024-02-03 10:20:00,2
231,2024-02-03 10:30:00,0
232,2024-02-03 10:40:00,0
233,2024-02-03 10:50:00,0
234,2024-02-03 11:00:00,0
235,2024-02-03 11:10:00,0
236,2024-02-03 11:20:00,0
237,2024-02-03 11:30:00,0
238,2024-02-03 11:40:00,0
239,2024-02-03 11:50:00,0
240,2024-02-03 12:00:00,0
241,2024-02-03 12:10:00,0
242,2024-02-03 12:20:00,2
243,2024-02-03 12:30:00,18
244,2024-02-03 12:40:00,30
245,2024-02-03 12:50:00,20
246,2024-02-03 13:00:00,32
247,2024-02-03 13:10:00,28
248,2024-02-03 13:20:00,38
249,2024-02-03 13:30:00,30
250,2024-02-03 13:40:00,25
251,2024-02-03 13:50:00,33
252,2024-02-03 14:00:00,25
253,2024-02-03 14:10:00,27
254,2024-02-03 14:20:00,13
255,2024-02-03 14:30:00,3
256,2024-02-03 14:40:00,0
257,2024-02-03 14:50:00,0
258,2024-02-03 15:00:00,0
259,2024-02-03 15:10:00,0
260,2024-02-03 15:20:00,0
261,2024-02-03 15:30:00,0
262,2024-02-03 15:40:00,0
263,2024-02-03 15:50:00,0
264,2024-02-03 16:00:00,0
265,2024-02-03 16:10:00,0
266,2024-02-03 16:20:00,0
267,2024-02-03 16:30:00,0
268,2024-02-03 16:40:00,0
269,2024-02-03 16:50:00,0
270,2024-02-03 17:00:00,24
271,2024-02-03 17:10:00,12
272,2024-02-03 17:20:00,16
273,2024-02-03 17:30:00,17
274,2024-02-03 17:40:00,14
275,2024-02-03 17:50:00,27
276,2024-02-03 18:00:00,5
277,2024-02-03 18:10:00,1
278,2024-02-03 18:20:00,0
279,2024-02-03 18:30:00,0
280,2024-02-03 18:40:00,0
281,2024-02-03 18:50:00,0
282,2024-02-03 19:00:00,0
283,2024-02-03 19:10:00,0
284,2024-02-03 19:20:00,0
285,2024-02-03 19:30:00,0
286,2024-02-03 19:40:00,0
287,2024-02-03 19:50:00,0
288,2024-02-03 20:00:00,19
289,2024-02-03 20:10:00,30
290,2024-02-03 20:20:00,32
291,2024-02-03 20:30:00,23
292,2024-02-03 20:40:00,22
293,2024-02-03 20:50:00,34
294,2024-02-03 21:00:00,35
295,2024-02-03 21:10:00,38
296,2024-02-03 21:20:00,3
297,2024-02-03 21:30:00,0
298,2024-02-03 21:40:00,0
299,2024-02-03 21:50:00,0
300,2024-02-03 22:00:00,0
301,2024-02-03 22:10:00,0
302,2024-02-03 22:20:00,0
303,2024-02-03 22:30:00,0
304,2024-02-03 22:40:00,0
305,2024-02-03 22:50:00,0
306,2024-02-03 23:00:00,0
307,2024-02-03 23:10:00,0
308,2024-02-03 23:20:00,0
309,2024-02-03 23:30:00,0
310,2024-02-03 23:40:00,0
311,2024-02-03 23:50:00,0
312,2024-02-04 00:00:00,0
313,2024-02-04 00:10:00,0
314,2024-02-04 00:20:00,0
315,2024-02-04 00:30:00,0
316,2024-02-04 00:40:00,0
317,2024-02-04 00:50:00,0
318,2024-02-04 01:00:00,0
319,2024-02-04 01:10:00,0
320,2024-02-04 01:20:00,0
321,2024-02-04 01:30:00,0
322,2024-02-04 01:40:00,0
323,2024-02-04 01:50:00,0
324,2024-02-04 02:00:00,0
325,2024-02-04 02:10:00,0
326,2024-02-04 02:20:00,0
327,2024-02-04 02:30:00,0
328,2024-02-04 02:40:00,0
329,2024-02-04 02:50:00,0
330,2024-02-04 03:00:00,0
331,2024-02-04 03:10:00,0
332,2024-02-04 03:20:00,0
333,2024-02-04 03:30:00,0
334,2024-02-04 03:40:00,0
335,2024-02-04 03:50:00,0
336,2024-02-04 04:00:00,0
337,2024-02-04 04:10:00,0
338,2024-02-04 04:20:00,0
339,2024-02-04 04:30:00,0
340,2024-02-04 04:40:00,0
341,2024-02-04 04:50:00,0
342,2024-02-04 05:00:00,0
343,2024-02-04 05:10:00,0
344,2024-02-04 05:20:00,0
345,2024-02-04 05:30:00,0
346,2024-02-04 05:40:00,0
347,2024-02-04 05:50:00,0
348,2024-02-04 06:00:00,0
349,2024-02-04 06:10:00,0
350,2024-02-04 06:20:00,0
